index,sepal_length,sepal_width,petal_length,petal_width,target
0,0.0,0.417,0.017,0.0,0
1,0.222,0.583,0.085,0.042,0
2,0.139,0.458,0.102,0.042,0
3,0.139,0.417,0.068,0.083,0
4,0.222,0.625,0.068,0.083,0
5,0.278,0.708,0.085,0.042,0
6,0.194,0.583,0.102,0.125,0
7,0.194,0.417,0.102,0.042,0
8,0.25,0.875,0.085,0.0,0
9,0.222,0.75,0.085,0.083,0
10,0.139,0.417,0.068,0.0,0
11,0.194,0.667,0.068,0.042,0
12,0.167,0.667,0.068,0.0,0
13,0.028,0.375,0.068,0.042,0
14,0.083,0.458,0.085,0.042,0
15,0.083,0.583,0.068,0.083,0
16,0.056,0.125,0.051,0.083,0
17,0.222,0.75,0.102,0.042,0
18,0.083,0.5,0.068,0.042,0
19,0.389,1.0,0.085,0.125,0
20,0.167,0.458,0.085,0.0,0
21,0.306,0.792,0.051,0.125,0
22,0.139,0.583,0.153,0.042,0
23,0.167,0.458,0.085,0.042,0
24,0.306,0.583,0.085,0.125,0
25,0.222,0.625,0.068,0.042,0
26,0.222,0.75,0.153,0.125,0
27,0.25,0.625,0.085,0.042,0
28,0.333,0.917,0.068,0.042,0
29,0.306,0.792,0.119,0.125,0
30,0.111,0.5,0.102,0.042,0
31,0.139,0.583,0.102,0.042,0
32,0.333,0.625,0.051,0.042,0
33,0.5,0.375,0.627,0.542,1
34,0.333,0.208,0.508,0.5,1
35,0.333,0.167,0.475,0.417,1
36,0.389,0.417,0.542,0.458,1
37,0.417,0.292,0.525,0.375,1
38,0.222,0.208,0.339,0.417,1
39,0.694,0.333,0.644,0.542,1
40,0.639,0.417,0.576,0.542,1
41,0.417,0.292,0.492,0.458,1
42,0.361,0.208,0.492,0.417,1
43,0.472,0.083,0.508,0.375,1
44,0.611,0.333,0.61,0.583,1
45,0.556,0.125,0.576,0.5,1
46,0.639,0.375,0.61,0.5,1
47,0.333,0.125,0.508,0.5,1
48,0.556,0.542,0.627,0.625,1
49,0.5,0.417,0.61,0.542,1
50,0.389,0.375,0.542,0.5,1
51,0.528,0.375,0.559,0.5,1
52,0.667,0.458,0.576,0.542,1
53,0.25,0.292,0.492,0.542,1
54,0.361,0.417,0.593,0.583,1
55,0.583,0.375,0.559,0.5,1
56,0.306,0.417,0.593,0.583,1
57,0.333,0.167,0.458,0.375,1
58,0.75,0.5,0.627,0.542,1
59,0.361,0.292,0.542,0.5,1
60,0.667,0.417,0.678,0.667,1
61,0.472,0.292,0.695,0.625,1
62,0.389,0.333,0.593,0.5,1
63,0.389,0.25,0.424,0.375,1
64,0.444,0.417,0.542,0.583,1
65,0.667,0.458,0.627,0.583,1
66,0.389,0.208,0.678,0.792,2
67,0.722,0.458,0.746,0.833,2
68,0.861,0.333,0.864,0.75,2
69,0.667,0.417,0.712,0.917,2
70,0.944,0.75,0.966,0.875,2
71,0.528,0.583,0.746,0.917,2
72,0.528,0.333,0.644,0.708,2
73,0.806,0.5,0.847,0.708,2
74,0.583,0.333,0.78,0.875,2
75,0.472,0.083,0.678,0.583,2
76,0.694,0.417,0.763,0.833,2
77,0.611,0.417,0.814,0.875,2
78,0.583,0.458,0.763,0.708,2
79,0.667,0.208,0.814,0.708,2
80,0.556,0.375,0.78,0.708,2
81,0.167,0.208,0.593,0.667,2
82,0.722,0.458,0.695,0.917,2
83,0.556,0.208,0.678,0.75,2
84,0.611,0.417,0.712,0.792,2
85,0.583,0.5,0.729,0.917,2
86,0.806,0.667,0.864,1.0,2
87,0.611,0.417,0.763,0.708,2
88,0.667,0.542,0.797,0.833,2
89,0.5,0.25,0.78,0.542,2
90,1.0,0.75,0.915,0.792,2
91,0.556,0.542,0.847,1.0,2
92,0.667,0.542,0.797,1.0,2
93,0.5,0.417,0.661,0.708,2
94,0.556,0.333,0.695,0.583,2
95,0.917,0.417,0.949,0.833,2
96,0.806,0.417,0.814,0.625,2
97,0.583,0.292,0.729,0.75,2
98,0.556,0.583,0.78,0.958,2
99,0.417,0.292,0.695,0.75,2
