node_label,is_feature_based,graph_type,parameter,laplacian_type,number_of_eigenvectors,use_kmean_for_silhouette,silhouette_score,rand_index,total_time,affinity_time,laplacian_time,clustering_time,adjusted_rand_index_time,memory_used,cpu_used
madelon_33,True,full,26,sym,2,False,0.010866799180726533,0.7884990231139244,1401431.415459,25758.569375,1142844.359709,232472.184042,354.548459,-600.80128,33.0
madelon_33,True,full,26,rw,2,False,0.011074421861220774,0.7435624212240732,1481497.774,22882.101709,1225331.831209,232948.432083,334.941958,-274.644992,20.45
madelon_33,True,full,26,ad,2,False,0.010859121210458761,0.8009831033257659,991159.614542,22998.763292,846972.048084,120896.963084,291.383167,-267.14112,26.1
madelon_33,True,eps,4.667,sym,2,False,0.012399302779413784,0.3228499321912496,982706.201416,13486.389333,852547.597375,116377.175208,294.721542,-143.507456,26.0
madelon_33,True,eps,4.667,rw,2,False,0.011981073377465682,0.33624873371767694,1061692.279916,28835.183417,893248.136583,139272.720875,335.36325,110.575616,23.25
madelon_33,True,eps,4.667,ad,2,False,0.013257744480484446,0.2528518277483761,847128.025833,13722.133917,694160.037791,138916.60225,328.453334,53.428224,59.05
madelon_33,True,knn,138,sym,2,False,0.010987019970693974,0.642586480962637,352981.049459,8122.436542,198317.837416,146217.916458,322.115834,-69.107712,9.45
madelon_33,True,knn,138,rw,2,False,0.008961935691323374,0.36105317275767146,349450.670291,8883.139167,196885.240834,143353.095708,328.386875,-149.58592,9.25
madelon_33,True,knn,138,ad,2,False,0.010404656792390395,0.8009831033257659,350275.810167,8789.973333,202701.368333,138456.621375,327.167084,-357.564416,9.85
madelon_33,True,mknn,55,sym,2,False,0.0034494195441830042,0.8177809609254371,184336.313125,7852.002542,36152.245959,140008.19375,323.071,233.242624,10.4
madelon_33,True,mknn,55,rw,2,False,0.023166777321055713,3.2640003359926235e-05,188295.477916,7842.871292,37184.244666,142979.37575,288.438334,215.269376,10.3
madelon_33,True,mknn,55,ad,2,False,-0.008109646307224303,0.4532473155274146,196461.667291,7976.691458,36501.312375,151661.223083,321.802042,-86.491136,8.9
