graph,laplacian,silhouette,adjusted_rand,number_of_clusters,hyperparameters,cluster_labels,graph_laplacian
full,sym,0.010964080569636974,0.02723294302714077,2,local_sigma=45,[1 0 0 ... 0 0 1],full_sym
full,rw,0.010964080569636974,0.02723294302714077,2,local_sigma=45,[1 0 0 ... 0 0 1],full_rw
full,ad,0.01096356954818979,0.02723294302714077,2,local_sigma=45,[1 0 0 ... 0 0 1],full_ad
eps,sym,0.014541669202223717,0.0008265837313172515,2,epsilon=4.669447617224119,[0 1 1 ... 1 1 1],eps_sym
eps,rw,0.016197575294576726,0.0002648990763902135,2,epsilon=4.669447617224119,[1 0 0 ... 0 0 0],eps_rw
eps,ad,0.014799519918505958,0.0008836892983424624,2,epsilon=4.669447617224119,[1 0 0 ... 0 0 0],eps_ad
knn,sym,0.010907308730216716,0.026471196906400412,2,k_nn=419,[0 0 1 ... 1 0 0],knn_sym
knn,rw,0.010907308730216716,0.026471196906400412,2,k_nn=419,[0 0 1 ... 1 0 0],knn_rw
knn,ad,0.010907308730216716,0.026471196906400412,2,k_nn=419,[0 0 1 ... 1 0 0],knn_ad
mknn,sym,0.03970126869950478,1.183888694442254e-06,2,k_mknn=117,[0 0 0 ... 0 0 0],mknn_sym
mknn,rw,0.03970126869950478,1.183888694442254e-06,2,k_mknn=117,[0 0 0 ... 0 0 0],mknn_rw
mknn,ad,-0.003076120870290221,0.0003277620596985842,2,k_mknn=117,[0 1 1 ... 1 0 1],mknn_ad
